Numéro d'école;Latitude;Longitude;
0290790B;47.9960325;-4.1024782;Quimper, Finistère, Bretagne, France métropolitaine, 29000, France
0061755A;43.833177;7.4723919;Castillon, Nice, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France métropolitaine, 06500, France
0130487J;43.5139051;4.9884323;Istres, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, 13800, France
0422101F;45.4401467;4.3873058;Saint-Étienne, Loire, Auvergne-Rhône-Alpes, France métropolitaine, France
0430413R;45.1189171;3.9065257;Lavoûte-sur-Loire, Pays du Velay, Haute-Loire, Auvergne-Rhône-Alpes, France métropolitaine, 43800, France
0160196B;45.4199869;0.0564999;Nonac, Angoulême, Charente, Nouvelle-Aquitaine, France métropolitaine, 16190, France
0160561Y;45.7078066;0.5547653;Rouzède, Angoulême, Charente, Nouvelle-Aquitaine, France métropolitaine, 16220, France
0071178T;45.2399639;4.6675475;Annonay, Tournon-sur-Rhône, Ardèche, Auvergne-Rhône-Alpes, France métropolitaine, 07100, France
0090111X;43.1661872;1.2755831;La Bastide-de-Besplas, Saint-Girons, Ariège, Occitanie, France métropolitaine, 09350, France
0100095Z;48.2514482840827;4.70577699728286;Ailleville, Grand Est, France métropolitaine, 10200, France
0100227T;47.9958509;3.8643686;Les Croûtes, Troyes, Aube, Grand Est, France métropolitaine, 10130, France
0100412U;48.5185158;3.5955059;Pont-sur-Seine, Nogent-sur-Seine, Aube, Grand Est, France métropolitaine, 10400, France
0100465B;48.2784599;4.0507314;Saint-André-les-Vergers, Troyes, Aube, Grand Est, France métropolitaine, 10120, France
0351787C;48.0181129;-1.651345;Saint-Erblon, Rennes, Ille-et-Vilaine, Bretagne, France métropolitaine, 35230, France
0352095M;48.3683827;-1.2177018;Lécousse, Fougères-Vitré, Ille-et-Vilaine, Bretagne, France métropolitaine, 35133, France
0360241S;46.9477826;1.9889131;Issoudun, Indre, Centre-Val de Loire, France métropolitaine, 36100, France
0360484F;46.4280912;2.0528147;Sazeray, La Châtre, Indre, Centre-Val de Loire, France métropolitaine, 36160, France
0292028X;47.8201167;-3.7921065;Névez, Quimper, Finistère, Bretagne, France métropolitaine, 29920, France
0170436G;46.1591126;-1.1520434;La Rochelle, Charente-Maritime, Nouvelle-Aquitaine, France métropolitaine, 17000, France
9710152N;16.2408636;-61.5334077;Pointe-à-Pitre, Guadeloupe, 97110, France
9710389W;16.3316709;-61.3476233;Le Moule, Pointe-à-Pitre, Guadeloupe, 97160, France
9710492H;16.3776349;-61.4877837;Petit-Canal, Pointe-à-Pitre, Guadeloupe, 97131, France
9710497N;16.2255854;-61.3857557;Sainte-Anne, Pointe-à-Pitre, Guadeloupe, 97180, France
0110176G;43.2130358;2.3491069;Carcassonne, Aude, Occitanie, France métropolitaine, 11000, France
0110651Y;43.2108325;2.4412579;Trèbes, Carcassonne, Aude, Occitanie, France métropolitaine, 11800, France
0260940F;45.0458886;5.0528681;Romans-sur-Isère, Valence, Drôme, Auvergne-Rhône-Alpes, France métropolitaine, 26100, France
0261028B;44.9332277;4.8920811;Valence, Drôme, Auvergne-Rhône-Alpes, France métropolitaine, 26000, France
0270863S;48.90859715;1.16407407793467;Thomer-la-Sôgne, Chambois, Bernay, Eure, Normandie, France métropolitaine, 27240, France
0571959V;49.034658;6.1569029;Coin-lès-Cuvry, Metz, Moselle, Grand Est, France métropolitaine, 57420, France
0572137N;49.1196964;6.1763552;Metz, Moselle, Grand Est, France métropolitaine, France
0572314F;49.3086945;6.5876744;Heining-lès-Bouzonville, Forbach-Boulay-Moselle, Moselle, Grand Est, France métropolitaine, 57320, France
0671974G;48.8519787;7.61247138699397;La Walck, Val-de-Moder, Haguenau-Wissembourg, Bas-Rhin, Grand Est, France métropolitaine, 67350, France
0672452B;48.3966676;7.4425002;Mittelbergheim, Sélestat-Erstein, Bas-Rhin, Grand Est, France métropolitaine, 67140, France
0672620J;48.4553525;7.2068703;Rothau, Molsheim, Bas-Rhin, Grand Est, France métropolitaine, 67570, France
0111002E;43.0202133;2.391578;Villardebelle, Limoux, Aude, Occitanie, France métropolitaine, 11580, France
0160187S;45.348474;0.2491546;Palluaud, Angoulême, Charente, Nouvelle-Aquitaine, France métropolitaine, 16390, France
0160287A;45.6763498;0.2188754;Ruelle-sur-Touvre, Angoulême, Charente, Nouvelle-Aquitaine, France métropolitaine, 16600, France
0160449B;45.7594369;0.1278348;Vars, Confolens, Charente, Nouvelle-Aquitaine, France métropolitaine, 16330, France
0160529N;46.0316836;0.7211031;Esse, Confolens, Charente, Nouvelle-Aquitaine, France métropolitaine, 16500, France
0280310K;48.4231;1.46835;Luisant, Chartres, Eure-et-Loir, Centre-Val de Loire, France métropolitaine, 28600, France
0572592H;49.1492922;6.9490582;Bousbach, Forbach-Boulay-Moselle, Moselle, Grand Est, France métropolitaine, 57460, France
0572687L;49.1198867;6.28799840269698;Montoy-Flanville, Ogy-Montoy-Flanville, Metz, Moselle, Grand Est, France métropolitaine, 57645, France
0572781N;49.2515048;6.0938369;Rombas, Metz, Moselle, Grand Est, France métropolitaine, 57120, France
0681387N;47.7569173878324;7.28891668465197;Lutterbach, Grand Est, France métropolitaine, 68210, France
0681512Z;47.7627813;7.1529679;Aspach-le-Bas, Thann-Guebwiller, Haut-Rhin, Grand Est, France métropolitaine, 68700, France
0160851N;45.9935688;0.6461785;Ansac-sur-Vienne, Confolens, Charente, Nouvelle-Aquitaine, France métropolitaine, 16500, France
0161030H;46.0120389;0.0795577;Villefagnan, Confolens, Charente, Nouvelle-Aquitaine, France métropolitaine, 16240, France
0161129R;45.7750157;0.2093391;Anais, Confolens, Charente, Nouvelle-Aquitaine, France métropolitaine, 16560, France
0410893Y;48.0406043;1.076786;Droué, Vendôme, Loir-et-Cher, Centre-Val de Loire, France métropolitaine, 41270, France
