2015-2016;2016-2017;2017-2018;Académie;Adresse;Appellation officielle;Code département;Code postal;Commune;Département;Etat établissement;Latitude;Lieu dit;Longitude;Nombre d'élèves 2015-2016;Nombre d'élèves 2016-2017;Nombre d'élèves 2017-2018;Numéro d'école;Patronyme uai;Secteur d'enseignement;code région;libellé région;POPULATION;Inférieur à 500 hab ?;Inférieur à 2000 habs;Inférieur à 10000 habs
yes;no;no;TOULOUSE;Le bourg;Ecole primaire de Saint-Vincent-Rive-d'Olt;;46140.0;Saint-Vincent-Rive-d'Olt;;;;;;18.0;;;0460083R;;PUBLIC;76;Occitanie;459;1;1;1
yes;yes;no;NANTES;4 rue du Morvan;Ecole maternelle Voltaire;;49100.0;Angers;;;;;;229.0;196.0;;0490770W;;PUBLIC;52;Pays-de-la-Loire;150125;0;0;0
yes;no;no;LYON;Le Château;Ecole maternelle Le cerf Volant;;69510.0;Thurins;;;;;;61.0;;;0693749A;;PUBLIC;84;Auvergne-et-Rhône-Alpes;2964;0;0;1
yes;yes;no;BESANCON;Place de la Mairie;Ecole maternelle d'Anchenoncourt-et-Chazel;;70210.0;Anchenoncourt-et-Chazel;;;;;;16.0;19.0;;0700108M;;PUBLIC;27;Bourgogne-et-Franche-Comté;230;1;1;1
yes;yes;no;BESANCON;12 Grande rue;Ecole primaire de Fédry;;70120.0;Fédry;;;;;;26.0;15.0;;0700385N;;PUBLIC;27;Bourgogne-et-Franche-Comté;100;1;1;1
yes;yes;no;TOULOUSE;Le bourg;Ecole primaire de Molières;;46120.0;Molières;;;;;;18.0;21.0;;0460223T;;PUBLIC;76;Occitanie;376;1;1;1
yes;yes;no;TOULOUSE;Le bourg;Ecole primaire de Cavagnac;;46110.0;Cavagnac;;;;;;36.0;26.0;;0460260H;;PUBLIC;76;Occitanie;458;1;1;1
yes;no;no;TOULOUSE;Le bourg;Ecole primaire du Boulvé;;46800.0;Le Boulvé;;;;;;11.0;;;0460427P;;PUBLIC;76;Occitanie;192;1;1;1
yes;yes;no;AMIENS;1 rue de Beauvais;Ecole élémentaire de Fouilloy;;60220.0;Fouilloy;;;;;;28.0;22.0;;0600837J;;PUBLIC;32;Hauts-de-France;200;1;1;1
yes;yes;no;NANCY-METZ;34 rue Principale;Ecole maternelle de Théding;;57450.0;Théding;;;;;;74.0;76.0;;0573261K;;PUBLIC;44;Grand-Est;2480;0;0;1
yes;yes;no;NANCY-METZ;Rue du Stade;Ecole maternelle d'Ennery;;57365.0;Ennery;;;;;;105.0;100.0;;0572407G;;PUBLIC;44;Grand-Est;1938;0;1;1
yes;no;no;NANCY-METZ;2 rue des Jardins;Ecole maternelle la Farandole;;57880.0;Varsberg;;;;;;23.0;;;0572659F;;PUBLIC;44;Grand-Est;916;0;1;1
yes;no;no;NANCY-METZ;37 rue Saint-Pierre;Ecole maternelle Louis Royer;;57935.0;Luttange;;;;;;35.0;;;0572662J;;PUBLIC;44;Grand-Est;920;0;1;1
yes;yes;no;LILLE;1 rue Eleyne;Ecole primaire Les Viviers niveau 1;;59133.0;Phalempin;;;;;;95.0;99.0;;0591041L;;PUBLIC;32;Hauts-de-France;4395;0;0;1
