CODGEO,LIBGEO,POPULATION
02271,Dravegny,142
02272,Droizy,73
02273,Dury,214
02274,Ébouleau,208
02275,Effry,333
02276,Englancourt,133
02277,Épagny,334
02278,Éparcy,34
02279,Épaux-Bézu,563
02280,Épieds,384
02281,L'Épine-aux-Bois,265
02282,Eppes,418
02283,Erlon,286
02284,Erloy,89
02286,Esquéhéries,852
02287,Essigny-le-Grand,1056
02288,Essigny-le-Petit,351
02289,Essises,428
02290,Essômes-sur-Marne,2784
02291,Estrées,412
02292,Étampes-sur-Marne,1259
02293,Étaves-et-Bocquiaux,579
02294,Étouvelles,213
02295,Étréaupont,888
02296,Étreillers,1209
02297,Étrépilly,107
02298,Étreux,1482
02299,Évergnicourt,578
02301,Faucoucourt,311
02302,Faverolles,308
02303,Fayet,675
02304,La Fère,2854
02305,Fère-en-Tardenois,3143
02306,La Ferté-Chevresis,562
02307,La Ferté-Milon,2123
02308,Fesmy-le-Sart,497
02309,Festieux,667
02310,Fieulaine,270
02311,Filain,131
02312,La Flamengrie,1166
02313,Flavigny-le-Grand-et-Beaurain,477
02315,Flavy-le-Martel,1676
02316,Fleury,138
02317,Fluquières,220
02318,Folembray,1405
02319,Fonsomme,486
02320,Fontaine-lès-Clercs,268
02321,Fontaine-lès-Vervins,932
02322,Fontaine-Notre-Dame,396
02323,Fontaine-Uterte,127
02324,Fontenelle,271
02326,Fontenoy,494
02327,Foreste,173
02328,Fossoy,548
02329,Fourdrain,420
02330,Francilly-Selency,418
02331,Franqueville,120
02332,Fresnes-en-Tardenois,267
02333,Fresnes,159
02334,Fresnoy-le-Grand,2956
02335,Fressancourt,199
02336,Frières-Faillouël,1007
02337,Froidestrées,188
02338,Froidmont-Cohartille,265
02339,Gandelu,689
02340,Gauchy,5335
02341,Gercy,290
02342,Gergny,131
02343,Germaine,79
02345,Gibercourt,44
02346,Gizy,677
02347,Gland,454
02349,Goudelancourt-lès-Berrieux,53
02350,Goudelancourt-lès-Pierrepont,143
02351,Goussancourt,124
02352,Gouy,569
02353,Grandlup-et-Fay,307
02354,Grandrieux,92
02355,Gricourt,989
02356,Grisolles,236
02357,Gronard,76
02358,Grougis,366
02359,Grugies,1313
02360,Guignicourt,2193
02361,Guise,4919
02362,Guivry,251
02363,Guny,419
02364,Guyencourt,238
02366,Hannapes,311
02367,Happencourt,139
02368,Haramont,583
02369,Harcigny,246
02370,Hargicourt,587
02371,Harly,1650
02372,Hartennes-et-Taux,396
02373,Hary,223
02374,Lehaucourt,896
02375,Hautevesnes,170
02376,Hauteville,164
02377,Haution,150
02378,La Hérie,151
02379,Le Hérie-la-Viéville,233
02380,Hinacourt,28
02381,Hirson,9158
02382,Holnon,1413
02383,Homblières,1481
02384,Houry,48
02385,Housset,155
02386,Iron,244
02387,Itancourt,1037
02388,Iviers,223
02389,Jaulgonne,634
02390,Jeancourt,275
02391,Jeantes,211
02392,Joncourt,306
02393,Jouaignes,146
02395,Jumencourt,154
02396,Jumigny,63
02397,Jussy,1232
02398,Juvigny,278
02399,Juvincourt-et-Damary,583
02400,Laffaux,149
02401,Laigny,201
02402,Lanchy,40
02403,Landifay-et-Bertaignemont,280
02404,Landouzy-la-Cour,188
02405,Landouzy-la-Ville,575
02406,Landricourt,140
02407,Laniscourt,174
02408,Laon,25358
02409,Lappion,281
02410,Largny-sur-Automne,248
02411,Latilly,214
02412,Launoy,97
02413,Laval-en-Laonnois,250
02414,Lavaqueresse,207
02415,Laversine,163
02416,Lemé,439
02417,Lempire,92
02418,Lerzy,209
02419,Leschelle,276
02420,Lesdins,831
02421,Lesges,94
02422,Lesquielles-Saint-Germain,809
02423,Leuilly-sous-Coucy,402
02424,Leury,108
02425,Leuze,170
02426,Levergies,555
02427,Lhuys,146
02428,Licy-Clignon,75
02429,Lierval,113
02430,Liesse-Notre-Dame,1297
02431,Liez,409
02432,Limé,184
02433,Lislet,227
02434,Lizy,266
02435,Logny-lès-Aubenton,75
02438,Longpont,271
02439,Les Septvallons,1180
02440,Lor,149
02441,Louâtre,208
02442,Loupeigne,91
02443,Lucy-le-Bocage,191
02444,Lugny,104
02445,Luzoir,289
02446,Ly-Fontaine,124
02447,Maast-et-Violaine,146
02448,Mâchecourt,119
02449,Macogny,76
02450,Macquigny,381
02451,Magny-la-Fosse,124
02452,Maissemy,245
02453,Maizy,423
02454,La Malmaison,416
02455,Malzy,197
02456,Manicamp,316
02457,Marchais,423
02458,Dhuys et Morin-en-Brie,832
02459,Marcy,183
02460,Marcy-sous-Marle,195
02461,Marest-Dampcourt,357
02462,Mareuil-en-Dôle,252
02463,Marfontaine,82
02464,Margival,377
02465,Marigny-en-Orxois,478
02466,Marizy-Sainte-Geneviève,131
02467,Marizy-Saint-Mard,49
02468,Marle,2281
02469,Marly-Gomont,457
02470,Martigny,428
02471,Martigny-Courpierre,119
02472,Mauregny-en-Haye,426
02473,Mayot,207
02474,Mennessis,431
02475,Menneville,449
02476,Mennevret,631
02477,Mercin-et-Vaux,968
02478,Merlieux-et-Fouquerolles,269
02480,Mesbrecourt-Richecourt,303
02481,Mesnil-Saint-Laurent,453
02482,Meurival,50
02483,Mézières-sur-Oise,520
02484,Mézy-Moulins,526
02485,Missy-aux-Bois,104
02486,Missy-lès-Pierrepont,111
02487,Missy-sur-Aisne,648
02488,Molain,152
02489,Molinchart,327
02490,Monampteuil,131
02491,Monceau-le-Neuf-et-Faucouzy,321
02492,Monceau-lès-Leups,475
02493,Monceau-le-Waast,212
02494,Monceau-sur-Oise,123
02495,Mondrepuis,1022
02496,Monnes,109
02497,Mons-en-Laonnois,1195
02498,Montaigu,754
02499,Montbavin,47
02500,Montbrehain,836
02501,Montchâlons,68
02502,Montcornet,1384
02503,Mont-d'Origny,881
02504,Montescourt-Lizerolles,1672
02505,Montfaucon,202
02506,Montgobert,195
02507,Montgru-Saint-Hilaire,34
02508,Monthenault,156
02509,Monthiers,158
02510,Monthurel,151
02511,Montigny-en-Arrouaise,301
02512,Montigny-l'Allier,277
02513,Montigny-le-Franc,149
02514,Montigny-Lengrain,688
02515,Montigny-lès-Condé,62
02516,Montigny-sous-Marle,58
02517,Montigny-sur-Crécy,341
02518,Montlevon,294
02519,Montloué,187
02520,Mont-Notre-Dame,739
02521,Montreuil-aux-Lions,1377
02522,Mont-Saint-Jean,67
02523,Mont-Saint-Martin,77
02524,Mont-Saint-Père,700
02525,Morcourt,579
02526,Morgny-en-Thiérache,87
02527,Morsain,422
02528,Mortefontaine,241
02529,Mortiers,192
02530,Moulins,77
02531,Moussy-Verneuil,124
02532,Moÿ-de-l'Aisne,962
02533,Muret-et-Crouttes,128
02534,Muscourt,59
02535,Nampcelles-la-Cour,125
02536,Nampteuil-sous-Muret,96
02537,Nanteuil-la-Fosse,187
02538,Nanteuil-Notre-Dame,62
02539,Nauroy,721
02540,Nesles-la-Montagne,1215
02541,Neufchâtel-sur-Aisne,420
02542,Neuflieux,96
02543,Neuilly-Saint-Front,2130
02544,Neuve-Maison,601
02545,La Neuville-Bosmont,195
02546,La Neuville-en-Beine,206
02547,La Neuville-Housset,64
02548,La Neuville-lès-Dorengt,388
02549,Neuville-Saint-Amand,850
02550,Neuville-sur-Ailette,102
02551,Neuville-sur-Margival,122
02552,Neuvillette,187
02553,Nizy-le-Comte,251
02554,Nogentel,1007
02555,Nogent-l'Artaud,2201
02556,Noircourt,83
02557,Noroy-sur-Ourcq,135
02558,Le Nouvion-en-Thiérache,2669
02559,Nouvion-et-Catillon,501
02560,Nouvion-le-Comte,253
02561,Nouvion-le-Vineux,162
02562,Nouvron-Vingré,232
02563,Noyales,170
02564,Noyant-et-Aconin,504
02565,Oeuilly,289
02566,Ognes,1150
02567,Ohis,315
02568,Oigny-en-Valois,151
02569,Oisy,467
02570,Ollezy,184
02571,Omissy,699
02572,Orainville,519
02573,Orgeval,65
02574,Origny-en-Thiérache,1503
02575,Origny-Sainte-Benoite,1702
02576,Osly-Courtil,314
02577,Ostel,77
02578,Oulches-la-Vallée-Foulon,93
02579,Oulchy-la-Ville,117
02580,Oulchy-le-Château,832
02581,Paars,303
02582,Paissy,68
02583,Pancy-Courtecon,60
02584,Papleux,123
02585,Parcy-et-Tigny,253
02586,Parfondeval,142
02587,Parfondru,356
02588,Pargnan,76
02589,Pargny-Filain,250
02590,Pargny-la-Dhuys,177
02591,Pargny-les-Bois,126
02592,Parpeville,195
02593,Pasly,1007
02594,Passy-en-Valois,156
02595,Passy-sur-Marne,132
02596,Pavant,792
02598,Pernant,666
02599,Pierremande,278
02600,Pierrepont,401
02601,Pignicourt,196
02602,Pinon,1767
02604,Pithon,79
02605,Pleine-Selve,163
02606,Le Plessier-Huleu,73
02607,Ploisy,78
02608,Plomion,445
02609,Ployart-et-Vaurseine,21
02610,Pommiers,607
02612,Pont-Arcy,129
02613,Pontavert,607
02614,Pontru,261
02615,Pontruet,333
02616,Pont-Saint-Mard,198
02617,Pouilly-sur-Serre,525
02618,Prémont,714
02619,Prémontré,700
02620,Presles-et-Boves,372
02621,Presles-et-Thierny,390
02622,Priez,48
02623,Prisces,110
02624,Proisy,297
02625,Proix,148
02626,Prouvais,320
02627,Proviseux-et-Plesnoy,119
02628,Puiseux-en-Retz,213
02629,Puisieux-et-Clanlieu,296
02631,Quierzy,430
02632,Quincy-Basse,61
02633,Quincy-sous-le-Mont,62
02634,Raillimont,76
02635,Ramicourt,157
02636,Regny,201
02637,Remaucourt,305
02638,Remies,233
02639,Remigny,364
02640,Renansart,174
02641,Renneval,127
02642,Résigny,181
02643,Ressons-le-Long,767
