2015-2016	2016-2017	2017-2018	Académie	Adresse	Appellation officielle	Code département	Code postal	Commune	Département	Etat établissement	Latitude	Lieu dit	Longitude	Nombre d'élèves 2015-2016	Nombre d'élèves 2016-2017	Nombre d'élèves 2017-2018	Numéro d'école	Patronyme uai	Secteur d'enseignement	code région	libellé région
yes	yes	no	CLERMONT-FERRAND	4 route du Mazet	Ecole Elémentaire	43	43400	Le Chambon-sur-Lignon	Haute-Loire	OUVERT	45.05893830362381		4.301964332531123	110.0	93.0		0430515B	LE CHAMBON-SUR-LIGNON	PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	yes	no	REIMS	Rue André Malraux	Ecole maternelle Croix Dampierre 		51000	Châlons-en-Champagne						81.0	76.0		0511613B		PUBLIC	44	Grand-Est
yes	yes	no	REIMS	7 rue des Hauts	Ecole maternelle de Val-des-Marais 		51130	Val-des-Marais						52.0	50.0		0511919J		PUBLIC	44	Grand-Est
yes	yes	no	REIMS	2 rue des écoles	Ecole de Suzannecourt 		52300	Suzannecourt						30.0	24.0		0520108K		PUBLIC	44	Grand-Est
yes	yes	no	NANCY-METZ	1 place de la Mairie	Ecole élémentaire d'Anoux 		54150	Anoux						37.0	16.0		0540160F		PUBLIC	44	Grand-Est
yes	yes	no	AMIENS	13 Grande rue Grande rue	Ecole de Villers-sur-Trie 		60590	Villers-sur-Trie						20.0	22.0		0601686G		PUBLIC	32	Hauts-de-France
yes	yes	no	PARIS	51 rue Ramponeau	Ecole primaire Ramponeau 		75020	Paris						112.0	97.0		0750979G		PUBLIC	11	Île-de-France
yes	yes	no	LILLE	19 A rue Principale	Ecole primaire de Coyecques 		62560	Coyecques						73.0	80.0		0621750R		PUBLIC	32	Hauts-de-France
yes	yes	no	LILLE	20 bis rue de Fruges	Ecole primaire Jacques Prévert 		62130	Saint-Pol-sur-Ternoise						209.0	223.0		0622062E		PUBLIC	32	Hauts-de-France
yes	yes	no	LILLE	Rue Blanqui	Ecole maternelle Adrienne Berteloot 		62800	Liévin						87.0	89.0		0622283V		PUBLIC	32	Hauts-de-France
yes	no	no	ORLEANS-TOURS	Rue des Fontenils	Ecole maternelle Rochelude 		37500	Chinon						35.0			0370301B		PUBLIC	24	Centre-Val-de-Loire
yes	no	no	ORLEANS-TOURS	16 rue Jean Moulin	Ecole maternelle Moulin  		37540	Saint-Cyr-sur-Loire						74.0			0370804Y		PUBLIC	24	Centre-Val-de-Loire
yes	yes	no	ORLEANS-TOURS	7 rue des écoles	Ecole maternelle Lebert 		37230	Luynes						100.0	76.0		0371106B		PUBLIC	24	Centre-Val-de-Loire
yes	no	no	GRENOBLE	Place Albert Rivet	Ecole maternelle Le Bourg 		38770	La Motte-d'Aveillans						54.0			0381653R		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	yes	no	MONTPELLIER	4 rue du 81e Régiment d'infanterie	Ecole élementaire publique internat d'excellence	34	34080	Montpellier	Hérault		43.620070		3.876690	9.0			0342280U		PUBLIC	76	Occitanie
yes	yes	no	ORLEANS-TOURS	Le bourg	Ecole élémentaire de Vijon 		36160	Vijon						17.0	16.0		0360076M		PUBLIC	24	Centre-Val-de-Loire
yes	no	no	ORLEANS-TOURS	64 avenue de la République	Ecole primaire Ré 		37540	Saint-Cyr-sur-Loire						98.0			0370148K		PUBLIC	24	Centre-Val-de-Loire
yes	no	no	ROUEN	14 rue d'Artois Saint Michel	Ecole maternelle Jean Macé 		27000	Évreux						198.0			0270068C		PUBLIC	28	Normandie
yes	no	no	ROUEN	4 rue Anatole France	Ecole maternelle Maxime Marchand 		27000	Évreux						97.0			0270073H		PUBLIC	28	Normandie
yes	yes	no	ROUEN	4 rue de l'Eglise	Ecole élémentaire de Saint-Vincent-du-Boulay 		27230	Saint-Vincent-du-Boulay						43.0	45.0		0270337V		PUBLIC	28	Normandie
yes	yes	no	ROUEN	4 rue de l'Iton	Ecole élémentaire de Saint-Germain-des-Angles 		27930	Saint-Germain-des-Angles						25.0	26.0		0270503A		PUBLIC	28	Normandie
yes	no	no	ROUEN	59 rue Saint Germain	Ecole élémentaire Evreux rue Saint-Germain 		27000	Évreux						67.0			0271805R		PUBLIC	28	Normandie
yes	yes	no	ORLEANS-TOURS	18 rue du Général Lebreton	Ecole élémentaire de Luigny 		28480	Luigny						16.0	17.0		0280376G		PUBLIC	24	Centre-Val-de-Loire
yes	yes	no	ORLEANS-TOURS	2 rue Saint Martin	Ecole élémentaire de Vieuvicq 		28120	Vieuvicq						25.0	22.0		0280449L		PUBLIC	24	Centre-Val-de-Loire
